"","name","group"
"1","ALG12",1
"2","ALG3",1
"3","ALG5",1
"4","ALG6",1
"5","ALG8",1
"6","ALG9",1
"7","B3GALT1",1
"8","B3GALT4",1
"9","B3GNT2",1
"10","B3GNT3",1
"11","B4GALNT1",1
"12","B4GALT2",1
"13","B4GALT3",1
"14","B4GALT6",1
"15","B4GALT7",1
"16","B4GAT1",1
"17","CHST1",1
"18","CHST10",1
"19","CHST11",1
"20","CHST15",1
"21","CHST4",1
"22","CHST7",1
"23","COLGALT1",1
"24","COLGALT2",1
"25","CSGALNACT1",1
"26","DPAGT1",1
"27","DPM1",1
"28","DPY19L1",1
"29","EOGT",1
"30","EXT2",1
"31","EXTL2",1
"32","EXTL3",1
"33","FKRP",1
"34","FKTN",1
"35","FUT1",1
"36","FUT2",1
"37","GAL3ST4",1
"38","GALNT1",1
"39","GALNT14",1
"40","GALNT2",1
"41","GALNT3",1
"42","GALNT6",1
"43","GCNT4",1
"44","HS2ST1",1
"45","HS3ST1",1
"46","HS6ST1",1
"47","LARGE1",1
"48","LFNG",1
"49","MFNG",1
"50","MGAT2",1
"51","MGAT4A",1
"52","MGAT4C",1
"53","NDST1",1
"54","NDST2",1
"55","OGT",1
"56","PIGA",1
"57","POGLUT1",1
"58","POGLUT2",1
"59","POMGNT1",1
"60","SLC34A2",1
"61","ST3GAL1",1
"62","ST3GAL2",1
"63","ST3GAL6",1
"64","ST6GAL1",1
"65","ST6GALNAC2",1
"66","ST6GALNAC4",1
"67","ST6GALNAC5",1
"68","ST8SIA4",1
"69","STT3A",1
"70","UGGT1",1
"71","UGGT2",1
"72","UGT8",1
